permit,year,annual_total,annual_avg
AA1953G108,2018,53002000,145211
AA1953G208,2018,0,0
AA1968G006,2018,183841000,503674
AA1969G019,2018,1242833063,3405022
AA1972G005,2018,1806414000,4949079
AA1972G105,2018,1924098000,5271501
AA1981G025,2018,81980000,224603
AA1981G026,2018,0,0
AA1982G036,2018,1048911000,2873729
AA1982G037,2018,91111000,249619
AA1982G039,2018,0,0
AA1982G044,2018,0,0
AA1986G070,2018,983891000,2695592
AA1987G069,2018,1624910000,4451808
AA2005G020,2018,880558000,2412488
AA1953G008,2019,2287571000,6267318
AA1953G108,2019,96415000,264151
AA1953G208,2019,0,0
AA1968G006,2019,398221000,1091016
AA1969G019,2019,1419355000,3888644
AA1972G005,2019,2285501000,6261647
AA1972G105,2019,1791500000,4908219
AA1981G025,2019,115645000,316836
AA1981G026,2019,105923000,290200
AA1982G036,2019,840317000,2302238
AA1982G037,2019,0,0
AA1982G039,2019,0,0
AA1982G044,2019,0,0
AA1986G070,2019,731948000,2005337
AA1987G069,2019,1589573000,4354995
AA2005G020,2019,1075758600,2947284
AA1953G008,2020,2311182000,6332005.479
AA1953G108,2020,59060000,161808.2192
AA1953G208,2020,0,0
AA1968G006,2020,280101000,767400
AA1969G019,2020,1152735000,3158178.082
AA1972G005,2020,2186479000,5990353.425
AA1972G105,2020,1782391000,4883263.014
AA1981G025,2020,90879000,248983.5616
AA1981G026,2020,175304000,480284.9315
AA1982G036,2020,1076195000,2948479.452
AA1982G037,2020,0,0
AA1982G039,2020,0,0
AA1982G044,2020,0,0
AA1986G070,2020,699311000,1915920.548
AA1987G069,2020,1602621000,4390742.466
AA2005G020,2020,1328590000,3639972.603
AA1953G008,2021,2343300000,6420000
AA1953G108,2021,76406000,209332
AA1953G208,2021,0,0
AA1968G006,2021,295961000,810852
AA1969G019,2021,1326435000,3634068
AA1972G005,2021,2203405000,6036726
AA1972G105,2021,2114824000,5794038
AA1981G025,2021,158558000,434405
AA1981G026,2021,115540000,316548
AA1982G036,2021,1003103000,2748227
AA1982G037,2021,0,0
AA1982G039,2021,0,0
AA1982G044,2021,0,0
AA1986G070,2021,760634000,2083929
AA1987G069,2021,2363041000,6474085
AA2005G020,2021,1296168000,3551145
AA1953G008,2022,1109002000,3038361.644
AA1953G108,2022,74247000,203416
AA1953G208,2022,0,0
AA1968G006,2022,218174000,597737
AA1969G019,2022,1490017000,4082238
AA1972G005,2022,2159166000,5915523
AA1972G105,2022,2092221000,5732112
AA1981G025,2022,141207000,386868
AA1981G026,2022,118391000,324359
AA1982G036,2022,1218931000,3339537
AA1982G037,2022,0,0
AA1982G039,2022,0,0
AA1982G044,2022,0,0
AA1986G070,2022,847760000,2322630
AA1987G069,2022,1611939000,4416271
AA2005G020,2022,770081000,2109811
